participant_id,full_name,nationality,gender,age_group,occupation,university_institution,study_level,year_of_study,subject_area,prior_ai_experience,condition,session_datetime,session_duration_mins,suspicion_probe,financial_literacy_score_0_3,need_for_cognition_1_5,technology_disposition_1_5,ai_follow_rate_0_1,decision_accuracy_rate_0_1,calibration_score,avg_confidence_1_5,avg_response_time_ms,ai_errors_caught_0_3,override_correct_count,override_wrong_count,mental_model_estimate_pct,mental_model_accurate,trust_in_automation_1_7,perceived_fairness_1_7,appeal_intent_1_5,retrust_organisation_1_5
P0011,Fahim Uddin,Bangladeshi,Male,18-22,Graduate (recent),University of Hertfordshire,PhD / MPhil,Completed,Graphic Design,Moderate,A_no_explanation,2026-08-11 10:24:16,58.3,No,2,4.3,3.6,0.6,0.7,-0.488,3.0,16467,2,2,2,71,True,3.45,2.85,2,2
P0012,Khairul Islam,Bangladeshi,Male,23-27,Undergraduate student,University of Surrey,MSc / MA / MEng,PG Year 1,Digital Marketing,Low,A_no_explanation,2026-08-03 16:19:41,72.9,No,2,3.0,4.3,0.7,0.4,-0.264,3.0,16196,0,0,3,51,False,3.99,4.61,1,4
P0013,Nabil Hossain,Bangladeshi,Male,33-40,Postgraduate student (MSc),Middlesex University,BSc / BEng / BA,Completed,Business & Management,None,A_no_explanation,2026-08-10 10:22:30,61.4,Somewhat — thought it was about usability,2,3.8,5.0,0.9,0.6,0.764,3.2,12780,0,0,1,62,True,4.37,4.23,1,3
P0014,Ngozi Obi,Nigerian,Female,18-22,Undergraduate student,BRAC University,PhD / MPhil,PhD Year 1,Health Informatics,Moderate,A_no_explanation,2026-08-02 14:07:35,69.2,No,1,2.1,1.7,0.5,0.6,0.327,2.8,17325,2,2,3,52,False,4.83,3.54,2,4
P0015,Wali Ullah,Bangladeshi,Male,23-27,Undergraduate student,Oxford Brookes University,BSc / BEng / BA,Year 4,Data Science & AI,None,B_surface,2026-08-17 15:15:53,64.3,No,1,1.9,2.2,0.6,0.5,-0.186,2.8,16259,1,1,3,63,True,3.32,5.6,3,1
P0016,Imran Hossain,Bangladeshi,Male,23-27,Postgraduate student (MSc),University of Reading,Not a student,Year 2,Human-Computer Interaction,Low,A_no_explanation,2026-08-05 12:43:52,41.8,No,3,2.4,3.4,1.0,0.7,-0.408,3.2,11527,0,0,0,67,True,5.47,4.35,3,3
P0017,Hannah Green,British,Female,23-27,Academic / lecturer,North South University,BSc / BEng / BA,PG Year 1,Digital Marketing,Moderate,A_no_explanation,2026-08-02 14:58:37,54.1,No,3,1.9,3.1,0.5,0.4,0.357,2.4,16427,1,1,4,57,False,4.32,5.11,1,2
P0018,Rasel Ahmed,Bangladeshi,Male,33-40,Undergraduate student,Middlesex University,MSc / MA / MEng,PG Year 2,Education Technology,High,C_counterfactual,2026-08-13 12:05:04,62.9,No,1,4.5,3.7,0.6,0.5,0.0,3.8,18796,1,1,3,70,True,3.68,3.48,4,3
P0019,Ramesh Dubey,Indian,Male,18-22,Undergraduate student,Coventry University,MSc / MA / MEng,PhD Year 3,Computer Science,High,A_no_explanation,2026-08-06 10:51:31,52.3,No,3,2.9,3.5,0.4,0.5,0.267,3.2,16116,2,2,4,70,True,4.82,2.78,3,3
P0020,Femi Adebayo,Nigerian,Male,23-27,PhD researcher,Goldsmiths University of London,MSc / MA / MEng,Year 3,Digital Marketing,Low,A_no_explanation,2026-08-06 11:16:48,44.5,No,1,2.3,3.8,0.7,0.6,0.13,2.9,12524,1,1,2,63,True,3.6,3.19,1,4
P0021,Arif Hossain,Bangladeshi,Male,28-32,Undergraduate student,Kingston University London,MSc / MA / MEng,PhD Year 1,Computer Science,Low,B_surface,2026-08-09 11:10:20,42.5,No,3,1.9,3.3,0.7,0.6,0.173,3.0,15123,1,1,2,62,True,3.79,4.1,3,5
P0022,Lutfur Rahman,Bangladeshi,Male,28-32,Postgraduate student (MSc),London Metropolitan University,MSc / MA / MEng,Year 2,International Business,High,B_surface,2026-08-05 13:32:35,49.2,No,1,2.8,2.3,0.7,0.4,-0.068,2.8,16480,0,0,3,80,True,4.01,4.0,4,3
P0023,Nayem Islam,Bangladeshi,Male,28-32,Undergraduate student,Coventry University,MSc / MA / MEng,PG Year 2,Software Engineering,None,C_counterfactual,2026-08-12 12:20:58,43.3,No,3,2.5,2.9,0.7,0.6,0.25,3.4,17136,1,1,2,80,True,2.92,5.57,5,3
P0024,Olivia Morris,British,Female,18-22,PhD researcher,University of Bedfordshire,BSc / BEng / BA,PhD Year 3,Data Science & AI,None,B_surface,2026-08-06 14:25:20,64.5,No,3,1.4,2.4,0.9,0.8,-0.25,3.2,13772,1,1,0,81,False,3.26,4.48,2,2
P0025,Ashique Hossain,Bangladeshi,Male,23-27,Undergraduate student,University of Reading,MSc / MA / MEng,PG Year 1,Finance & Accounting,High,A_no_explanation,2026-08-10 10:12:51,65.0,Unsure,3,2.5,3.2,0.8,0.5,0.267,2.8,12643,0,0,2,61,True,4.33,2.61,3,2
P0026,Fatou Diallo,Other,Prefer not to say,28-32,Postgraduate student (MSc),University of Westminster,HND / Foundation,Completed,Digital Marketing,None,C_counterfactual,2026-08-03 14:14:55,55.9,No,3,4.0,3.6,0.4,0.7,-0.089,3.6,18509,3,3,3,56,False,3.19,6.02,4,4
P0027,Sagor Hossain,Bangladeshi,Male,18-22,Postgraduate student (MSc),Daffodil International University,MSc / MA / MEng,PG Year 1,Digital Marketing,Low,B_surface,2026-08-03 12:48:50,43.9,Somewhat — thought it was about AI accuracy,1,3.7,3.9,0.7,0.6,0.272,3.2,15055,1,1,2,97,False,4.67,4.24,3,4
P0028,Mehrab Hossain,Bangladeshi,Male,18-22,Undergraduate student,University of Surrey,Prefer not to say,Year 3,Digital Marketing,Low,A_no_explanation,2026-08-03 12:26:53,51.0,No,2,4.2,3.2,0.7,0.6,-0.175,3.1,12705,1,1,2,66,True,5.67,4.18,1,2
P0029,Hasna Begum,Bangladeshi,Female,18-22,Undergraduate student,North South University,BSc / BEng / BA,PG Year 2,International Business,Low,B_surface,2026-08-04 16:24:13,63.8,Unsure,3,4.0,3.8,0.6,0.5,0.714,3.1,15376,1,1,3,70,True,3.27,5.51,4,4
P0030,Vikram Singh,Indian,Male,18-22,Postgraduate student (MBA),Kingston University London,MBA,Year 1,Cybersecurity,Low,B_surface,2026-08-06 10:28:47,46.6,No,1,3.3,1.4,0.5,0.6,0.281,2.8,15509,2,2,3,78,True,4.89,5.48,3,3
P0031,Lei Hu,Chinese,Female,51+,Working professional,Anglia Ruskin University,HND / Foundation,Completed,Human-Computer Interaction,Moderate,C_counterfactual,2026-08-08 16:42:47,56.4,Yes — I thought it was about trust in AI,0,2.1,3.3,0.4,0.7,-0.7,3.2,20225,3,3,3,76,True,3.84,4.44,3,3
P0032,Rekha Bose,Indian,Female,41-50,Postgraduate student (MSc),Daffodil International University,MSc / MA / MEng,Completed,Media & Communication,Moderate,B_surface,2026-08-10 10:27:17,62.6,Somewhat — thought it was about AI accuracy,1,3.6,3.0,0.6,0.7,0.218,3.2,17040,2,2,2,85,False,4.58,4.44,3,4
P0033,Nazia Islam,Bangladeshi,Female,18-22,Postgraduate student (MBA),Brunel University London,MBA,PhD Year 3,Data Science & AI,Moderate,B_surface,2026-08-11 12:53:07,60.9,No,2,3.1,4.2,0.6,0.7,-0.375,3.3,17725,2,2,2,67,True,5.08,3.85,1,3
P0034,Shahriar Kabir,Bangladeshi,Male,23-27,PhD researcher,Anglia Ruskin University,MBA,PG Year 1,Psychology,Low,A_no_explanation,2026-08-07 12:17:53,57.0,No,2,3.3,3.9,0.5,0.4,-0.185,2.4,15722,1,1,4,54,False,4.84,3.34,3,5
P0035,Tahiya Islam,Bangladeshi,Female,23-27,Postgraduate student (MSc),Daffodil International University,Prefer not to say,Year 3,Finance & Accounting,Moderate,A_no_explanation,2026-08-03 14:16:09,58.2,No,1,5.0,2.9,0.5,0.4,-0.408,3.1,15519,1,1,4,73,True,5.52,4.76,4,2
P0036,Abid Hossain,Bangladeshi,Male,33-40,Undergraduate student,Goldsmiths University of London,BSc / BEng / BA,Year 2,Media & Communication,Low,B_surface,2026-08-03 15:40:17,45.1,Unsure,0,3.8,3.9,0.5,0.6,0.264,3.0,17508,2,2,3,88,False,3.83,4.67,1,3
P0037,Harry Johnson,British,Male,23-27,Graduate (recent),Kingston University London,MSc / MA / MEng,Year 3,Media & Communication,High,C_counterfactual,2026-08-03 11:21:09,58.6,No,3,4.8,3.9,0.3,0.6,0.045,3.3,20515,3,3,4,78,True,3.9,6.49,4,3
P0038,Billal Hossain,Bangladeshi,Male,18-22,Undergraduate student,"University for the Creative Arts, Farnham",MSc / MA / MEng,PhD Year 3,Human-Computer Interaction,Low,C_counterfactual,2026-08-09 15:49:07,54.0,Somewhat — thought it was about usability,1,2.5,1.7,0.6,0.5,-0.204,3.2,18451,1,1,3,37,False,3.32,5.79,4,4
P0039,Mahmudul Karim,Bangladeshi,Male,28-32,Student & part-time worker,Oxford Brookes University,MSc / MA / MEng,Completed,Software Engineering,High,C_counterfactual,2026-08-02 11:18:36,65.4,No,2,2.3,2.9,0.7,0.8,-0.049,3.4,18147,2,2,1,75,True,3.63,5.62,5,3
P0040,Badrul Alam,Bangladeshi,Male,18-22,Postgraduate student (MSc),Daffodil International University,BSc / BEng / BA,Year 3,Digital Marketing,Low,B_surface,2026-08-03 14:40:25,52.0,No,2,3.2,4.5,0.8,0.5,0.459,3.2,16246,0,0,2,94,False,4.2,6.48,4,4
P0041,Farhan Zulkifli,Malaysian,Male,18-22,Undergraduate student,Middlesex University,BSc / BEng / BA,Year 2,International Business,High,C_counterfactual,2026-08-03 13:01:35,48.3,Yes — I thought it was about trust in AI,3,3.7,2.9,0.3,0.6,0.314,3.3,21549,3,3,4,69,True,5.11,5.62,2,2
P0042,Sharif Ahmed,Bangladeshi,Male,28-32,Postgraduate student (MSc),North South University,Prefer not to say,PhD Year 2,Cybersecurity,Moderate,B_surface,2026-08-06 12:43:26,51.4,No,1,3.3,2.4,0.7,0.8,0.0,3.0,14662,2,2,1,66,True,4.05,2.21,3,3
P0043,Shahed Alam,Bangladeshi,Male,33-40,Postgraduate student (MSc),University of Hertfordshire,PhD / MPhil,PhD Year 2,Digital Marketing,Moderate,A_no_explanation,2026-08-06 12:06:43,59.3,Yes — I thought it was about trust in AI,1,3.4,3.4,0.6,0.7,0.563,3.0,13966,2,2,2,57,False,5.08,3.43,2,5
P0044,Zakia Begum,Bangladeshi,Female,23-27,Postgraduate student (MSc),Coventry University,MSc / MA / MEng,Year 4,Human-Computer Interaction,Moderate,A_no_explanation,2026-08-15 14:58:43,58.9,No,1,4.8,2.7,0.6,0.5,0.149,2.5,16440,1,1,3,45,False,3.64,3.41,1,2
P0045,Layla Akter,Bangladeshi,Female,18-22,Postgraduate student (MSc),Coventry University,BSc / BEng / BA,Year 3,Graphic Design,Moderate,C_counterfactual,2026-08-13 15:33:13,37.5,Unsure,3,3.4,4.0,0.7,0.8,0.167,3.3,20139,2,2,1,69,True,3.25,5.74,4,4
P0046,Nusrat Jahan,Bangladeshi,Female,18-22,Working professional,University of Surrey,MSc / MA / MEng,PG Year 2,Human-Computer Interaction,Low,A_no_explanation,2026-08-09 13:22:41,63.2,Somewhat — thought it was about usability,1,2.6,3.5,0.8,0.9,-0.527,3.0,15144,2,2,0,79,True,4.69,4.89,4,4
P0047,Manoj Joshi,Indian,Male,23-27,Postgraduate student (MBA),"University for the Creative Arts, Farnham",PhD / MPhil,PhD Year 1,Computer Science,None,B_surface,2026-08-06 12:03:59,36.3,Yes — I thought it was about trust in AI,2,3.0,3.3,0.6,0.5,0.429,2.9,15738,1,1,3,84,False,4.69,6.13,2,3
P0048,Deepa Singh,Indian,Female,41-50,Undergraduate student,University of East London,BSc / BEng / BA,Year 3,Cybersecurity,Low,B_surface,2026-08-13 13:46:11,51.9,No,3,4.4,2.7,0.5,0.4,0.47,3.3,16312,1,1,4,69,True,4.16,4.52,4,5
P0049,Peng Sun,Chinese,Male,23-27,Undergraduate student,North South University,BSc / BEng / BA,PhD Year 2,Cybersecurity,Moderate,A_no_explanation,2026-08-11 09:17:35,32.0,No,3,3.2,3.6,0.5,0.4,0.272,2.8,18197,1,1,4,62,True,6.66,6.12,2,3
P0050,Fatema Begum,Bangladeshi,Female,28-32,Undergraduate student,London Metropolitan University,MSc / MA / MEng,Completed,Finance & Accounting,Moderate,A_no_explanation,2026-08-07 11:08:21,43.5,Somewhat — thought it was about AI accuracy,2,3.1,2.9,0.6,0.7,0.757,2.8,13784,2,2,2,63,True,4.53,4.09,3,4
P0051,Kamrun Nahar,Bangladeshi,Female,23-27,Postgraduate student (MBA),"University for the Creative Arts, Farnham",BSc / BEng / BA,Year 4,Graphic Design,High,A_no_explanation,2026-08-04 16:41:39,57.7,Somewhat — thought it was about AI accuracy,1,1.7,4.4,0.5,0.4,0.153,2.6,15340,1,1,4,47,False,4.65,2.83,2,3
P0052,Abena Asante,Other,Female,18-22,Academic / lecturer,Goldsmiths University of London,BSc / BEng / BA,PhD Year 2,Data Science & AI,Moderate,A_no_explanation,2026-08-10 13:53:49,44.0,No,0,4.1,3.4,0.8,0.7,0.218,3.0,14051,1,1,1,75,True,5.22,3.78,3,2
P0053,Hafizur Rahman,Bangladeshi,Male,33-40,Postgraduate student (MSc),Brunel University London,MSc / MA / MEng,PhD Year 3,Media & Communication,None,C_counterfactual,2026-08-03 14:54:56,46.6,No,2,3.2,5.0,0.7,0.4,0.327,3.2,18586,0,0,3,81,False,4.45,4.19,3,4
P0054,Zubayer Hossain,Bangladeshi,Male,23-27,Postgraduate student (MSc),Kingston University London,MSc / MA / MEng,Year 2,Psychology,Moderate,A_no_explanation,2026-08-11 14:21:00,57.5,Somewhat — thought it was about AI accuracy,2,5.0,3.2,0.7,0.8,0.06,3.1,13158,2,2,1,69,True,4.87,3.71,3,3
P0055,Harunur Rashid,Bangladeshi,Male,51+,Undergraduate student,University of Bedfordshire,BSc / BEng / BA,PhD Year 1,Information Technology,Moderate,B_surface,2026-08-16 09:48:14,34.8,No,2,3.9,3.6,0.7,0.6,0.272,3.2,17647,1,1,2,77,True,5.51,5.11,4,4
P0056,Lucy Turner,British,Female,23-27,Undergraduate student,University of Surrey,BSc / BEng / BA,PhD Year 2,Cybersecurity,Low,A_no_explanation,2026-08-05 10:42:54,55.5,Somewhat — thought it was about usability,1,4.8,2.6,0.8,0.7,-0.034,3.3,13112,1,1,1,82,False,4.24,5.98,3,3
P0057,Olga Volkov,Other,Female,33-40,Undergraduate student,BRAC University,BSc / BEng / BA,PG Year 2,Education Technology,None,C_counterfactual,2026-08-12 11:20:01,57.2,Yes — I thought it was about trust in AI,2,2.2,3.6,0.5,0.6,0.531,3.2,20855,2,2,3,96,False,3.93,4.93,5,3
P0058,Shirin Akter,Bangladeshi,Female,33-40,PhD researcher,BRAC University,MBA,PG Year 2,Cybersecurity,Low,C_counterfactual,2026-08-03 11:50:29,46.4,Somewhat — thought it was about AI accuracy,1,2.9,2.9,0.4,0.7,-0.488,3.5,19569,3,3,3,86,False,4.4,5.36,4,4
P0059,Arman Hossain,Bangladeshi,Male,23-27,Graduate (recent),University of East London,MSc / MA / MEng,Year 4,Computer Science,High,C_counterfactual,2026-08-03 15:17:39,58.9,Somewhat — thought it was about usability,0,2.6,3.1,0.5,0.6,0.102,2.8,20475,2,2,3,77,True,4.8,3.96,3,5
P0060,Victoria Lee,British,Female,23-27,Postgraduate student (MSc),Oxford Brookes University,MSc / MA / MEng,PG Year 1,Finance & Accounting,Moderate,A_no_explanation,2026-08-03 12:05:35,36.0,No,3,4.5,3.9,0.6,0.3,0.732,3.0,16176,0,0,4,71,True,4.09,3.86,2,3
P0061,Anjali Patel,Indian,Female,33-40,Postgraduate student (MSc),Kingston University London,BSc / BEng / BA,Year 1,Computer Science,Moderate,B_surface,2026-08-15 11:34:49,45.3,No,2,3.6,3.8,0.5,0.2,0.271,3.5,16275,0,0,5,82,False,4.18,3.6,5,3
P0062,Ethan White,British,Male,33-40,Postgraduate student (MBA),Goldsmiths University of London,MSc / MA / MEng,Completed,Psychology,High,B_surface,2026-08-04 09:06:09,42.2,Somewhat — thought it was about usability,1,3.1,4.4,0.6,0.5,0.156,3.3,16972,1,1,3,60,True,4.75,5.72,3,3
P0063,Matthew Hall,British,Male,23-27,Undergraduate student,University of Hertfordshire,Prefer not to say,PhD Year 3,Human-Computer Interaction,High,B_surface,2026-08-09 12:14:29,45.9,No,1,2.9,4.0,0.7,0.6,-0.408,3.2,17428,1,1,2,73,True,4.84,6.44,4,2
P0064,Shapna Akter,Bangladeshi,Female,18-22,Postgraduate student (MBA),Middlesex University,BSc / BEng / BA,PhD Year 3,Graphic Design,Moderate,C_counterfactual,2026-08-04 11:38:43,53.2,No,2,4.0,3.2,0.8,0.7,-0.048,3.3,18701,1,1,1,94,False,4.26,5.12,4,4
P0065,Nadia Mansour,Other,Female,33-40,Student & part-time worker,"University for the Creative Arts, Farnham",BSc / BEng / BA,PhD Year 1,Digital Marketing,Low,A_no_explanation,2026-08-03 10:45:19,53.7,No,2,2.2,4.0,0.7,0.8,-0.452,3.4,13738,2,2,1,59,False,4.08,3.26,3,3
P0066,Isabella White,British,Non-binary,18-22,Postgraduate student (MBA),Goldsmiths University of London,MBA,PG Year 2,Cybersecurity,Moderate,A_no_explanation,2026-08-13 10:36:26,58.9,Somewhat — thought it was about AI accuracy,2,2.1,2.7,0.8,0.9,0.0,3.0,14881,2,2,0,72,True,4.22,5.08,1,4
P0067,Tawhid Islam,Bangladeshi,Male,18-22,Undergraduate student,University of Westminster,BSc / BEng / BA,Year 1,Cybersecurity,High,C_counterfactual,2026-08-09 15:43:37,49.4,Yes — I thought it was about trust in AI,2,2.5,3.5,0.3,0.6,0.323,3.0,20169,3,3,4,76,True,2.88,5.77,1,3
P0068,Tunde Adeyemi,Nigerian,Male,33-40,Undergraduate student,University of East London,HND / Foundation,Year 3,Software Engineering,Low,C_counterfactual,2026-08-09 15:08:06,56.7,Unsure,1,2.4,4.0,0.3,0.0,0.0,3.0,22132,0,0,7,73,True,4.93,4.28,3,3
P0069,Shamsul Alam,Bangladeshi,Male,23-27,Undergraduate student,University of Westminster,BSc / BEng / BA,PhD Year 1,Information Technology,Low,C_counterfactual,2026-08-08 09:17:26,66.9,No,0,3.0,3.1,0.6,0.5,0.361,3.1,15539,1,1,3,54,False,4.66,5.51,5,5
P0070,Mitu Akter,Bangladeshi,Female,18-22,Postgraduate student (MSc),Goldsmiths University of London,BSc / BEng / BA,PhD Year 1,Education Technology,Low,C_counterfactual,2026-08-05 09:11:35,59.0,No,1,1.7,2.0,0.6,0.7,0.762,3.4,18209,2,2,2,76,True,3.12,5.84,2,3
P0071,Shahnaz Parvin,Bangladeshi,Female,18-22,Postgraduate student (MSc),University of Surrey,BSc / BEng / BA,PG Year 1,International Business,Low,A_no_explanation,2026-08-02 15:14:58,40.5,Somewhat — thought it was about AI accuracy,2,2.6,3.1,0.9,0.8,-0.234,2.7,12439,1,1,0,63,True,4.64,4.3,3,3
P0072,Mujibur Rahman,Bangladeshi,Male,28-32,Working professional,"University for the Creative Arts, Farnham",MSc / MA / MEng,Year 4,Human-Computer Interaction,Moderate,B_surface,2026-08-04 14:42:42,61.9,No,2,4.1,2.3,0.8,0.7,-0.145,3.2,16542,1,1,1,86,False,4.12,4.51,4,2
P0073,Rejwan Ahmed,Bangladeshi,Male,28-32,PhD researcher,University of Westminster,MSc / MA / MEng,Year 3,Health Informatics,None,A_no_explanation,2026-08-02 12:21:22,46.7,No,3,5.0,2.0,0.6,0.5,0.12,2.9,17016,1,1,3,65,True,3.6,3.67,2,1
P0074,Tarek Hossain,Bangladeshi,Male,18-22,Graduate (recent),University of Reading,Prefer not to say,Year 4,International Business,Moderate,A_no_explanation,2026-08-09 12:38:30,63.0,No,3,2.0,2.7,0.7,0.6,0.408,3.5,14876,1,1,2,61,True,4.69,4.16,5,3
P0075,Siamul Islam,Bangladeshi,Male,18-22,Undergraduate student,Oxford Brookes University,MSc / MA / MEng,Year 4,Education Technology,None,B_surface,2026-08-06 11:31:56,41.7,Unsure,2,3.7,3.7,0.7,0.6,0.064,3.3,15352,1,1,2,59,False,4.58,4.41,4,4
P0076,Shweta Kumar,Indian,Prefer not to say,18-22,PhD researcher,BRAC University,MBA,Year 1,Information Technology,Low,A_no_explanation,2026-08-02 12:53:16,55.4,Somewhat — thought it was about usability,0,3.7,3.6,0.6,0.7,-0.094,2.9,14151,2,2,2,71,True,4.6,2.63,2,4
P0077,Ruhul Amin,Bangladeshi,Male,28-32,Undergraduate student,University of Westminster,MSc / MA / MEng,PG Year 2,Education Technology,Low,A_no_explanation,2026-08-09 09:41:31,60.9,No,2,2.3,3.7,0.7,0.4,0.281,3.2,15689,0,0,3,83,False,5.34,4.17,4,3
P0078,Naima Islam,Bangladeshi,Female,28-32,Postgraduate student (MSc),Kingston University London,MSc / MA / MEng,Completed,Data Science & AI,High,A_no_explanation,2026-08-12 10:01:30,54.1,No,3,3.0,3.2,0.6,0.7,-0.094,2.9,14994,2,2,2,58,False,4.22,5.09,2,3
P0079,Fatima Mahmood,Pakistani,Female,28-32,Postgraduate student (MBA),BRAC University,HND / Foundation,Year 4,Media & Communication,High,B_surface,2026-08-03 12:16:53,56.3,Unsure,0,3.6,4.5,0.6,0.5,-0.25,3.6,14053,1,1,3,76,True,4.09,5.79,4,2
P0080,Deepak Tiwari,Indian,Male,18-22,Postgraduate student (MSc),University of Bedfordshire,BSc / BEng / BA,Year 4,International Business,Moderate,A_no_explanation,2026-08-07 14:12:23,64.7,No,2,2.8,2.6,0.7,0.4,0.147,3.1,17032,0,0,3,59,False,3.94,4.53,3,2
P0081,Dilruba Begum,Bangladeshi,Female,28-32,Undergraduate student,Kingston University London,MSc / MA / MEng,PG Year 1,Computer Science,None,C_counterfactual,2026-08-04 11:32:53,55.8,Unsure,3,3.0,2.5,0.4,0.7,-0.122,2.9,19340,3,3,3,100,False,4.2,5.47,5,2
P0082,Fang Wang,Chinese,Female,23-27,Postgraduate student (MSc),University of Hertfordshire,BSc / BEng / BA,PG Year 2,Education Technology,High,B_surface,2026-08-02 13:19:13,55.3,Yes — I thought it was about trust in AI,2,3.8,3.4,0.4,0.3,0.345,3.0,16634,1,1,5,92,False,2.91,4.81,3,2
P0083,Geeta Mishra,Indian,Female,18-22,Postgraduate student (MSc),University of Dhaka,BSc / BEng / BA,PG Year 2,Education Technology,Moderate,C_counterfactual,2026-08-11 16:03:52,56.7,Unsure,3,1.9,2.3,0.4,0.5,0.0,3.2,18318,2,2,4,83,False,3.31,5.54,5,4
P0084,Amaka Eze,Nigerian,Female,23-27,Postgraduate student (MBA),University of East London,BSc / BEng / BA,Year 4,Education Technology,High,C_counterfactual,2026-08-10 13:55:04,42.2,No,3,3.4,3.0,0.3,0.6,0.272,3.2,23023,3,3,4,54,False,3.01,5.39,5,4
P0085,Rumana Akter,Bangladeshi,Female,23-27,Undergraduate student,University of Hertfordshire,BSc / BEng / BA,Year 4,Cybersecurity,Moderate,A_no_explanation,2026-08-12 15:43:34,55.9,Somewhat — thought it was about AI accuracy,3,2.3,3.6,0.6,0.3,-0.145,2.8,16833,0,0,4,49,False,4.51,5.58,1,3
P0086,Sufia Begum,Bangladeshi,Female,23-27,Postgraduate student (MSc),University of Bedfordshire,MSc / MA / MEng,PhD Year 3,Cybersecurity,Moderate,C_counterfactual,2026-08-17 11:30:39,51.7,Yes — I thought it was about trust in AI,2,4.4,3.3,0.3,0.2,-0.373,3.5,20842,1,1,6,76,True,4.39,4.94,3,3
P0087,Sumi Akter,Bangladeshi,Female,18-22,Postgraduate student (MSc),Kingston University London,BSc / BEng / BA,PhD Year 1,Computer Science,Moderate,C_counterfactual,2026-08-04 10:54:32,53.8,No,1,3.8,4.5,0.7,0.4,-0.244,3.3,19517,0,0,3,76,True,3.98,4.98,3,2
P0088,Zain Malik,Pakistani,Male,28-32,Undergraduate student,Anglia Ruskin University,PhD / MPhil,PhD Year 2,International Business,Low,C_counterfactual,2026-08-08 15:38:20,61.9,No,0,3.9,3.1,0.3,0.4,0.383,2.7,20733,2,2,5,86,False,3.89,5.22,2,2
