participant_id,full_name,nationality,age_group,condition,financial_literacy,need_for_cognition,technology_disposition,scenario,applicant,ai_verdict,ai_correct,participant_decision,followed_ai,correct_decision,confidence_1_5,response_time_ms
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,9,"Olga S., 38, Full-time",A,True,D,False,False,5,19662
P0005,Ashraful Alam,Bangladeshi,18-22,B_surface,3,4.1,3.7,10,"Chen W., 45, Part-time",A,False,D,False,True,3,14381
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,1,"Sarah M., 34, Part-time",D,True,D,True,True,3,21612
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,2,"James K., 28, Full-time",A,True,A,True,True,3,8824
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,3,"Priya R., 41, Self-employed",D,False,D,True,False,4,12333
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,4,"Marcus T., 55, Part-time",D,True,A,False,False,2,24463
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,5,"Anika P., 29, Full-time",D,True,D,True,True,3,11894
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,6,"David H., 47, Full-time",A,True,D,False,False,2,22703
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,7,"Fatima A., 33, Contract",D,False,D,True,False,4,13694
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,8,"Tom B., 22, Full-time",D,True,D,True,True,4,13276
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,9,"Olga S., 38, Full-time",A,True,A,True,True,4,9923
P0006,Ali Reza,Other,28-32,B_surface,3,1.6,3.9,10,"Chen W., 45, Part-time",A,False,A,True,False,4,16094
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,1,"Sarah M., 34, Part-time",D,True,D,True,True,2,18189
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,2,"James K., 28, Full-time",A,True,A,True,True,3,13593
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,3,"Priya R., 41, Self-employed",D,False,A,False,True,4,16140
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,4,"Marcus T., 55, Part-time",D,True,D,True,True,3,8669
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,5,"Anika P., 29, Full-time",D,True,A,False,False,4,13649
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,6,"David H., 47, Full-time",A,True,A,True,True,3,11988
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,7,"Fatima A., 33, Contract",D,False,D,True,False,3,9655
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,8,"Tom B., 22, Full-time",D,True,D,True,True,3,14466
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,9,"Olga S., 38, Full-time",A,True,A,True,True,5,17453
P0007,Belal Hossain,Bangladeshi,18-22,A_no_explanation,2,4.1,3.8,10,"Chen W., 45, Part-time",A,False,A,True,False,3,7313
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,1,"Sarah M., 34, Part-time",D,True,A,False,False,3,29819
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,2,"James K., 28, Full-time",A,True,D,False,False,5,22324
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,3,"Priya R., 41, Self-employed",D,False,A,False,True,3,27431
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,4,"Marcus T., 55, Part-time",D,True,A,False,False,4,21545
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,5,"Anika P., 29, Full-time",D,True,A,False,False,4,23229
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,6,"David H., 47, Full-time",A,True,D,False,False,1,23714
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,7,"Fatima A., 33, Contract",D,False,A,False,True,3,18565
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,8,"Tom B., 22, Full-time",D,True,A,False,False,3,20413
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,9,"Olga S., 38, Full-time",A,True,A,True,True,4,12306
P0008,Jide Oluwole,Nigerian,18-22,C_counterfactual,2,3.0,2.9,10,"Chen W., 45, Part-time",A,False,A,True,False,4,9725
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,1,"Sarah M., 34, Part-time",D,True,D,True,True,4,16881
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,2,"James K., 28, Full-time",A,True,A,True,True,3,10454
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,3,"Priya R., 41, Self-employed",D,False,A,False,True,2,18061
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,4,"Marcus T., 55, Part-time",D,True,D,True,True,2,12071
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,5,"Anika P., 29, Full-time",D,True,D,True,True,4,3417
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,6,"David H., 47, Full-time",A,True,A,True,True,3,14068
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,7,"Fatima A., 33, Contract",D,False,D,True,False,2,12656
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,8,"Tom B., 22, Full-time",D,True,D,True,True,4,9350
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,9,"Olga S., 38, Full-time",A,True,A,True,True,3,6946
P0009,Sohanur Rahman,Bangladeshi,23-27,B_surface,2,1.7,3.2,10,"Chen W., 45, Part-time",A,False,D,False,True,3,23383
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,1,"Sarah M., 34, Part-time",D,True,D,True,True,4,15944
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,2,"James K., 28, Full-time",A,True,A,True,True,2,4108
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,3,"Priya R., 41, Self-employed",D,False,D,True,False,3,17332
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,4,"Marcus T., 55, Part-time",D,True,A,False,False,2,14095
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,5,"Anika P., 29, Full-time",D,True,D,True,True,4,9872
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,6,"David H., 47, Full-time",A,True,D,False,False,4,16829
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,7,"Fatima A., 33, Contract",D,False,D,True,False,4,6654
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,8,"Tom B., 22, Full-time",D,True,A,False,False,3,24474
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,9,"Olga S., 38, Full-time",A,True,A,True,True,3,9955
P0010,Imran Butt,Pakistani,23-27,A_no_explanation,1,3.9,2.9,10,"Chen W., 45, Part-time",A,False,A,True,False,3,10324
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,1,"Sarah M., 34, Part-time",D,True,D,True,True,2,13794
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,2,"James K., 28, Full-time",A,True,A,True,True,3,13808
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,3,"Priya R., 41, Self-employed",D,False,A,False,True,3,20127
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,4,"Marcus T., 55, Part-time",D,True,A,False,False,4,19603
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,5,"Anika P., 29, Full-time",D,True,D,True,True,3,14963
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,6,"David H., 47, Full-time",A,True,D,False,False,3,21967
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,7,"Fatima A., 33, Contract",D,False,A,False,True,3,21165
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,8,"Tom B., 22, Full-time",D,True,D,True,True,3,15930
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,9,"Olga S., 38, Full-time",A,True,A,True,True,3,12419
P0011,Fahim Uddin,Bangladeshi,18-22,A_no_explanation,2,4.3,3.6,10,"Chen W., 45, Part-time",A,False,A,True,False,3,10897
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,1,"Sarah M., 34, Part-time",D,True,A,False,False,3,23285
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,2,"James K., 28, Full-time",A,True,A,True,True,3,16170
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,3,"Priya R., 41, Self-employed",D,False,D,True,False,4,15007
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,4,"Marcus T., 55, Part-time",D,True,A,False,False,2,18096
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,5,"Anika P., 29, Full-time",D,True,D,True,True,3,14913
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,6,"David H., 47, Full-time",A,True,A,True,True,3,10622
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,7,"Fatima A., 33, Contract",D,False,D,True,False,4,14028
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,8,"Tom B., 22, Full-time",D,True,D,True,True,2,9762
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,9,"Olga S., 38, Full-time",A,True,D,False,False,2,24992
P0012,Khairul Islam,Bangladeshi,23-27,A_no_explanation,2,3.0,4.3,10,"Chen W., 45, Part-time",A,False,A,True,False,4,15085
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,1,"Sarah M., 34, Part-time",D,True,D,True,True,3,14062
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,2,"James K., 28, Full-time",A,True,A,True,True,3,9884
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,3,"Priya R., 41, Self-employed",D,False,D,True,False,2,10926
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,4,"Marcus T., 55, Part-time",D,True,A,False,False,3,20428
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,5,"Anika P., 29, Full-time",D,True,D,True,True,4,15127
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,6,"David H., 47, Full-time",A,True,A,True,True,4,9012
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,7,"Fatima A., 33, Contract",D,False,D,True,False,2,14065
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,8,"Tom B., 22, Full-time",D,True,D,True,True,4,9225
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,9,"Olga S., 38, Full-time",A,True,A,True,True,4,13758
P0013,Nabil Hossain,Bangladeshi,33-40,A_no_explanation,2,3.8,5.0,10,"Chen W., 45, Part-time",A,False,A,True,False,3,11308
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,1,"Sarah M., 34, Part-time",D,True,D,True,True,3,20770
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,2,"James K., 28, Full-time",A,True,A,True,True,2,14212
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,3,"Priya R., 41, Self-employed",D,False,A,False,True,2,20283
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,4,"Marcus T., 55, Part-time",D,True,D,True,True,4,11360
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,5,"Anika P., 29, Full-time",D,True,A,False,False,3,21405
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,6,"David H., 47, Full-time",A,True,D,False,False,3,20908
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,7,"Fatima A., 33, Contract",D,False,D,True,False,2,14850
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,8,"Tom B., 22, Full-time",D,True,A,False,False,2,18346
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,9,"Olga S., 38, Full-time",A,True,A,True,True,4,12824
P0014,Ngozi Obi,Nigerian,18-22,A_no_explanation,1,2.1,1.7,10,"Chen W., 45, Part-time",A,False,D,False,True,3,18292
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,1,"Sarah M., 34, Part-time",D,True,A,False,False,3,26757
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,2,"James K., 28, Full-time",A,True,D,False,False,2,21073
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,3,"Priya R., 41, Self-employed",D,False,D,True,False,3,12761
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,4,"Marcus T., 55, Part-time",D,True,D,True,True,1,9724
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,5,"Anika P., 29, Full-time",D,True,D,True,True,5,12075
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,6,"David H., 47, Full-time",A,True,A,True,True,3,13088
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,7,"Fatima A., 33, Contract",D,False,A,False,True,2,23125
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,8,"Tom B., 22, Full-time",D,True,D,True,True,2,10801
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,9,"Olga S., 38, Full-time",A,True,D,False,False,4,20479
P0015,Wali Ullah,Bangladeshi,23-27,B_surface,1,1.9,2.2,10,"Chen W., 45, Part-time",A,False,A,True,False,3,12707
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,1,"Sarah M., 34, Part-time",D,True,D,True,True,4,10621
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,2,"James K., 28, Full-time",A,True,A,True,True,3,12557
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,3,"Priya R., 41, Self-employed",D,False,D,True,False,3,7240
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,4,"Marcus T., 55, Part-time",D,True,D,True,True,2,12804
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,5,"Anika P., 29, Full-time",D,True,D,True,True,4,9730
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,6,"David H., 47, Full-time",A,True,A,True,True,3,9793
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,7,"Fatima A., 33, Contract",D,False,D,True,False,4,8098
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,8,"Tom B., 22, Full-time",D,True,D,True,True,3,15241
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,9,"Olga S., 38, Full-time",A,True,A,True,True,2,14074
P0016,Imran Hossain,Bangladeshi,23-27,A_no_explanation,3,2.4,3.4,10,"Chen W., 45, Part-time",A,False,A,True,False,4,15114
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,1,"Sarah M., 34, Part-time",D,True,D,True,True,2,13790
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,2,"James K., 28, Full-time",A,True,A,True,True,4,14075
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,3,"Priya R., 41, Self-employed",D,False,D,True,False,3,13965
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,4,"Marcus T., 55, Part-time",D,True,A,False,False,1,23124
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,5,"Anika P., 29, Full-time",D,True,A,False,False,2,16896
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,6,"David H., 47, Full-time",A,True,D,False,False,2,20830
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,7,"Fatima A., 33, Contract",D,False,D,True,False,3,12187
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,8,"Tom B., 22, Full-time",D,True,A,False,False,2,17904
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,9,"Olga S., 38, Full-time",A,True,A,True,True,3,15859
P0017,Hannah Green,British,23-27,A_no_explanation,3,1.9,3.1,10,"Chen W., 45, Part-time",A,False,D,False,True,2,15637
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,1,"Sarah M., 34, Part-time",D,True,D,True,True,3,20451
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,2,"James K., 28, Full-time",A,True,D,False,False,5,24774
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,3,"Priya R., 41, Self-employed",D,False,A,False,True,3,20130
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,4,"Marcus T., 55, Part-time",D,True,D,True,True,4,17447
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,5,"Anika P., 29, Full-time",D,True,D,True,True,5,10286
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,6,"David H., 47, Full-time",A,True,D,False,False,3,22227
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,7,"Fatima A., 33, Contract",D,False,D,True,False,5,17039
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,8,"Tom B., 22, Full-time",D,True,D,True,True,4,12713
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,9,"Olga S., 38, Full-time",A,True,D,False,False,3,20843
P0018,Rasel Ahmed,Bangladeshi,33-40,C_counterfactual,1,4.5,3.7,10,"Chen W., 45, Part-time",A,False,A,True,False,3,22045
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,1,"Sarah M., 34, Part-time",D,True,D,True,True,4,11601
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,2,"James K., 28, Full-time",A,True,A,True,True,4,12451
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,3,"Priya R., 41, Self-employed",D,False,A,False,True,2,19909
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,4,"Marcus T., 55, Part-time",D,True,A,False,False,3,15273
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,5,"Anika P., 29, Full-time",D,True,D,True,True,4,13145
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,6,"David H., 47, Full-time",A,True,D,False,False,2,21432
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,7,"Fatima A., 33, Contract",D,False,D,True,False,3,14686
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,8,"Tom B., 22, Full-time",D,True,A,False,False,3,21323
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,9,"Olga S., 38, Full-time",A,True,D,False,False,4,15290
P0019,Ramesh Dubey,Indian,18-22,A_no_explanation,3,2.9,3.5,10,"Chen W., 45, Part-time",A,False,D,False,True,3,16055
P0020,Femi Adebayo,Nigerian,23-27,A_no_explanation,1,2.3,3.8,1,"Sarah M., 34, Part-time",D,True,A,False,False,2,20439
P0020,Femi Adebayo,Nigerian,23-27,A_no_explanation,1,2.3,3.8,2,"James K., 28, Full-time",A,True,A,True,True,3,13135
P0020,Femi Adebayo,Nigerian,23-27,A_no_explanation,1,2.3,3.8,3,"Priya R., 41, Self-employed",D,False,D,True,False,4,15171
